3.034,3.083,5.626,8.49
3.083,5.626,8.49,11.573
5.626,8.49,11.573,12.937
8.49,11.573,12.937,15.868
11.573,12.937,15.868,14.75
12.937,15.868,14.75,11.413
15.868,14.75,11.413,6.367
14.75,11.413,6.367,5
11.413,6.367,5,2.772
6.367,5,2.772,2.495
5,2.772,2.495,0.963
2.772,2.495,0.963,5.8
2.495,0.963,5.8,7.67
0.963,5.8,7.67,8
5.8,7.67,8,13.827
7.67,8,13.827,14
8,13.827,14,14.405
13.827,14,14.405,10.673
14,14.405,10.673,6.367
14.405,10.673,6.367,5
10.673,6.367,5,2.772
6.367,5,2.772,0.348
5,2.772,0.348,2
2.772,0.348,2,5.806
0.348,2,5.806,8.265
2,5.806,8.265,8
5.806,8.265,8,13.827
8.265,8,13.827,14
8,13.827,14,14.405
13.827,14,14.405,10.673
14,14.405,10.673,6.367
14.405,10.673,6.367,7.335
10.673,6.367,7.335,5.086
6.367,7.335,5.086,2.039
7.335,5.086,2.039,0.715
5.086,2.039,0.715,5.424
2.039,0.715,5.424,8.272
0.715,5.424,8.272,12.186
5.424,8.272,12.186,14.585
8.272,12.186,14.585,15.092
12.186,14.585,15.092,14.148
14.585,15.092,14.148,13.322
15.092,14.148,13.322,8.962
14.148,13.322,8.962,5.353
13.322,8.962,5.353,0.559
8.962,5.353,0.559,1.574
5.353,0.559,1.574,-1.249
0.559,1.574,-1.249,3.677
1.574,-1.249,3.677,11.61
-1.249,3.677,11.61,11.936
3.677,11.61,11.936,14.388
11.61,11.936,14.388,14.681
11.936,14.388,14.681,13.556
14.388,14.681,13.556,11.129
14.681,13.556,11.129,9.582
13.556,11.129,9.582,6.161
11.129,9.582,6.161,4.587
9.582,6.161,4.587,1.067
6.161,4.587,1.067,-0.108
4.587,1.067,-0.108,3.607
1.067,-0.108,3.607,9.263
-0.108,3.607,9.263,12.881
3.607,9.263,12.881,15.38
9.263,12.881,15.38,14.397
12.881,15.38,14.397,13.515
15.38,14.397,13.515,11.773
14.397,13.515,11.773,9.97
13.515,11.773,9.97,5.958
11.773,9.97,5.958,2.564
9.97,5.958,2.564,3.887
5.958,2.564,3.887,5.666
2.564,3.887,5.666,4.192
3.887,5.666,4.192,10.042
5.666,4.192,10.042,14.164
4.192,10.042,14.164,14.547
10.042,14.164,14.547,13.906
14.164,14.547,13.906,13.437
14.547,13.906,13.437,12.652
13.906,13.437,12.652,7.312
13.437,12.652,7.312,4.225
12.652,7.312,4.225,2.165
7.312,4.225,2.165,-0.276
4.225,2.165,-0.276,3.704
2.165,-0.276,3.704,4.529
-0.276,3.704,4.529,8.246
3.704,4.529,8.246,13.039
4.529,8.246,13.039,17.115
8.246,13.039,17.115,17.61
13.039,17.115,17.61,17.91
17.115,17.61,17.91,14.852
17.61,17.91,14.852,6.482
17.91,14.852,6.482,4.032
14.852,6.482,4.032,1.021
6.482,4.032,1.021,-1.503
4.032,1.021,-1.503,0.806
1.021,-1.503,0.806,3.765
-1.503,0.806,3.765,7.21
0.806,3.765,7.21,9.715
3.765,7.21,9.715,13.139
7.21,9.715,13.139,13.847
9.715,13.139,13.847,11.818
13.139,13.847,11.818,10.028
13.847,11.818,10.028,1.894
11.818,10.028,1.894,6.955
10.028,1.894,6.955,3.249
1.894,6.955,3.249,5.014
6.955,3.249,5.014,4.082
3.249,5.014,4.082,4.52
5.014,4.082,4.52,5.983
4.082,4.52,5.983,10.189
4.52,5.983,10.189,13.512
5.983,10.189,13.512,12.526
10.189,13.512,12.526,14.587
13.512,12.526,14.587,12.626
12.526,14.587,12.626,8.267
14.587,12.626,8.267,4.268
12.626,8.267,4.268,0.247
8.267,4.268,0.247,-0.811
4.268,0.247,-0.811,2.436
0.247,-0.811,2.436,1.864
-0.811,2.436,1.864,7.436
2.436,1.864,7.436,10.661
1.864,7.436,10.661,11.945
7.436,10.661,11.945,12.887
10.661,11.945,12.887,13.917
11.945,12.887,13.917,11.197
12.887,13.917,11.197,6.701
13.917,11.197,6.701,5.436
11.197,6.701,5.436,2.553
6.701,5.436,2.553,0.6
5.436,2.553,0.6,2.735
2.553,0.6,2.735,5.976
0.6,2.735,5.976,7.321
2.735,5.976,7.321,13.451
5.976,7.321,13.451,16.821
7.321,13.451,16.821,19.021
13.451,16.821,19.021,15.331
16.821,19.021,15.331,12.535
19.021,15.331,12.535,7.227
15.331,12.535,7.227,5.089
12.535,7.227,5.089,-0.837
7.227,5.089,-0.837,6.866
5.089,-0.837,6.866,4.801
-0.837,6.866,4.801,3.528
6.866,4.801,3.528,9.019
4.801,3.528,9.019,10.881
3.528,9.019,10.881,13.499
9.019,10.881,13.499,14.72
10.881,13.499,14.72,13.992
13.499,14.72,13.992,10.326
14.72,13.992,10.326,6.156
13.992,10.326,6.156,6.367
10.326,6.156,6.367,3.123
6.156,6.367,3.123,1.369
6.367,3.123,1.369,0.771
3.123,1.369,0.771,1.576
1.369,0.771,1.576,7.871
0.771,1.576,7.871,10.701
1.576,7.871,10.701,12.271
7.871,10.701,12.271,16.391
10.701,12.271,16.391,14.126
12.271,16.391,14.126,11.378
16.391,14.126,11.378,5.535
14.126,11.378,5.535,4.588
11.378,5.535,4.588,3.384
5.535,4.588,3.384,1.741
